Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,Fees.1,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore,IsGRERequired,Description.1
,Master of Science in Petroleum Engineering,,,,,Graduate,Fall 2026,,,,Required,Required,GRE,REQUIRED,"Admission into the petroleum engineering graduate program is based on many factors. The department requires the following documents: A one-page statement of purpose covering academic/professional preparation, research interest, and post-graduate plans; a résumé or curriculum vitae; and three letters of recommendation submitted through EngineeringCAS. [3] GRE scores must be submitted if the applicant does not hold a bachelor's degree from a U.S. institution. [3]",Not Required,,True,False,False,False,True,False,,True,False,False,False,False,True,True,False,False,,,,,,,,,,,,,The Master of Science degree in the Department of Petroleum Engineering is a thesis option research-based degree that will prepare graduates with the skills to pursue global opportunities in the petroleum industry. The research skills developed through fundamental courses in multiple areas of petroleum engineering will enable graduates to be successful leaders in the petroleum field of their choice.,,https://grad.tamu.edu/academics/program-directory?initDegree=MS,,,,FALSE,True,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.0,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Doctor of Philosophy in Petroleum Engineering,,,,,Doctoral,Fall 2026,,,,,,Not Required,REQUIRED,,,,True,True,False,False,False,False,,True,False,False,False,False,True,True,False,False,,,,College of Engineering,,"Program-specific tuition and fees are not explicitly stated as a flat rate. The university provides a tuition calculator for detailed estimates. [7] Based on 2019-2020 data, the average graduate tuition was $6,775 for in-state and $19,048 for out-of-state students, with additional fees of $3,695. [3]",,,,,,,,,https://grad.tamu.edu/academics/program-directory?initDegree=MS,,,,FALSE,False,2,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.0,,,,,80,,,,,,,,,,,,,"Research Assistantships, Teaching Assistantships, and Fellowships. [8]",FALSE,,,FALSE,FALSE,,,,
,Master of Engineering in Safety Engineering,,,,,Graduate,Fall 2026,,,,,,Not Required,REQUIRED,,,,True,True,False,False,False,False,,True,False,False,False,False,True,True,False,False,,,,,,,,,,,,,,,https://grad.tamu.edu/academics/program-directory?initDegree=MS,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.0,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Master of Science in Safety Engineering,,,,,Graduate,Fall 2026,,,,Required,Required,,,"The prerequisite for the MS in Safety Engineering program is a Bachelor Degree in Engineering. [3] The University computes GPR (Grade Point Ratio) on a four-point scale for each applicant. [3] Generally, a minimum GPR of 3.0 is required to be considered for admission into the graduate program. [3, 4] The following documents are required to complete the application: Statement of Purpose, Unofficial transcripts, and Letters of recommendation/evaluation. [4]",Optional,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://grad.tamu.edu/academics/program-directory?initDegree=MS,,,,FALSE,True,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Master of International Affairs,,,,,Graduate,Fall 2026,,,,Required,Required,Optional,REQUIRED,"To be eligible for graduate admission at Texas A&M University, an applicant must have earned or is expected to earn a bachelor's degree by the time of enrollment. [3] The Master of International Affairs considers applicants with bachelor's degree from all majors. [3] All majors accepted! For degrees earned from a college outside of the United States, please check to make sure the degree(s) you earned are considered by Texas A&M to be equivalent to a 4-year bachelor's degree in the United States before applying. [3]",Not Required,,False,True,False,False,False,False,,True,False,False,False,False,True,True,False,False,,,,,,,,,,,,,,,https://grad.tamu.edu/academics/program-directory?initDegree=MS,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.0,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Master of Public Service and Administration,,,,,Graduate,Fall 2026,,,,,,Optional,REQUIRED,,,,False,False,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,"['Homeland Security', 'Nonprofit Management', 'Public Management']","The Master of Public Service and Administration (MPSA) program develops principled leaders for the public and nonprofit sectors, providing students the tools and knowledge they will need in order to perform effectively and ethically in a time when public servants face new and increased challenges. [1] MPSA students have ample opportunities to engage in public service and to develop leadership skills both inside and outside the classroom through interaction with high-level public leaders, real-world consulting projects, student organizations, and the School's Public Service Leadership Program. [1] The MPSA curriculum provides a professional education for those seeking careers at any level of government or in the nonprofit sector. [3]",,https://grad.tamu.edu/academics/program-directory?initDegree=MS,"The MPSA program is fully accredited by the Network of Schools of Public Policy, Affairs, and Administration. [1]",,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.0,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Master of Science in Biotechnology,,,,,Graduate,Fall 2026,,,,Required,Required,Not Required,REQUIRED,Online application; Application fee; All transcripts; Personal statement; Resumé; 2 letters of recommendation; GRE scores are recommended but not required; Proof of English proficiency for all applicants; Prerequisite coursework. [3],Not Required,,True,True,False,False,False,False,,True,False,False,False,False,True,True,False,False,,,,,,,,,,,,,"Take your scientific training to the next level with the Master of Biotechnology (MBIOT)—a four-semester, non-thesis Professional Science Master's (PSM) degree designed for students seeking careers in biotechnology, business, and applied research. [3] The MBIOT Program provides an innovative interdisciplinary curriculum combining hands on science, business/entrepreneurial training, and an immersive internship experience in the biotech industry. [3] The Master of Biotechnology degree program is non-thesis, interdisciplinary and jointly administered by six colleges (Agriculture and Life Sciences, Engineering, Liberal Arts, Mays Business School, Science, Veterinary Medicine). [6] This program is one of a select few nationally that is designed to cut across the business and life science disciplines to better prepare a student for the variety of career pathways associated with the life science industries. [8, 6]",,https://grad.tamu.edu/academics/program-directory?initDegree=MS,,,,FALSE,True,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.0,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Master of Science in Data Science,,,,,Graduate,Fall 2026,,,,,,Not Required,REQUIRED,,,,True,True,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,,,,https://grad.tamu.edu/academics/program-directory?initDegree=MS,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.0,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Master of Science in Ecology and Evolutionary Biology,,,,,Graduate,Fall 2026,,,,,,Not Required,REQUIRED,"All international graduate applicants must submit an application and a non-refundable application fee of $90. Official transcripts from all post-secondary institutions attended are required. If admitted, official, sealed transcripts must be sent directly from the institution. Applicants from non-English speaking countries must also provide proof of English proficiency. [6] Most other required documents, such as Letters of Recommendation, Statement of Purpose, and Resume/CV, are specified by the individual departments or programs. [6]",,,False,False,False,False,False,False,,True,False,False,False,False,True,True,False,False,,,,,,,,,,,,,"The Master of Science in Ecology and Evolutionary Biology thesis program, administered by the Texas A&M intercollegiate faculty of Ecology and Evolutionary Biology, involves introduction to laboratory or field-conducted research, coupled with advanced coursework directed towards ecological, evolutionary, and genetic/genomic principles. [2, 7] Students that complete the course of study will have practical exposure to experimental techniques that address a broad range of questions involving living systems, communities, and evolutionary processes. [2, 7] These methodologies include a range of statistical, biomolecular, genetic/genomic, theoretical and experimental ecological techniques used for dissecting, describing, cataloging and organizing data from diverse ecological and evolutionary systems. [7] The students will also have developed writing and oral skills to effectively communicate new discoveries to fellow scientists and to the general public. [7]",,https://grad.tamu.edu/academics/program-directory?initDegree=MS,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.0,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Doctor of Philosophy in Ecology and Evolutionary Biology,,,,,Doctoral,Fall 2026,,,,,,Optional,REQUIRED,,,,True,True,False,False,False,False,,True,False,False,False,False,True,True,False,False,,,,,,,,,,,,,"The program involves intense laboratory or field-conducted research, coupled with rigorous scholarly contemplation of ecological, evolutionary, and genetic/genomic principles. [3, 4, 5] The Doctorate in Ecology and Evolutionary Biology is administered by the Texas A&M intercollegiate faculty of Ecology and Evolutionary Biology. [3] Students that complete the course of study will have mastered experimental method and design to produce and interpret data for addressing a broad range of questions involving living systems. [3]",,https://grad.tamu.edu/academics/program-directory?initDegree=MS,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,Verbal Score of at least 77 on the new scale or 22 on the old scale,Verbal Reasoning score of at least 146,6.0,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Master of Science in Energy,,,,,Graduate,Fall 2026,,,,,,Optional,REQUIRED,,,,True,True,False,False,False,False,,True,,,,False,True,True,False,False,,,,,,,,,,,,"['Energy Digitization', 'Energy Policy and Management', 'Resilient and Sustainable Energy']","Through a 10-month long program, featuring thesis and non-thesis tracks, the Master of Science in Energy aims to expose students and professionals to (a) important energy challenges and opportunities, and (b) advances in theory, methods, technologies, and applications delivered by energy leaders from academia, industry, and government, through a module-based structure and a distinguished seminar series. [1] Emphasis is placed on creating a new generation of energy educated students and professionals who are broadly educated on all components of energy through quantitative analytical methods and multi-scale systems based approaches. [1] The degree program and the certificates introduce students and professionals to the multiple interdisciplinary facets of energy ranging from an overview of energy technologies (fossil-based, renewable, and non-fossil based) to multi-scale energy systems engineering methods, to energy economics, law, security, policy, and societal impact. [1]",,https://grad.tamu.edu/academics/program-directory?initDegree=MS,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,146 (Verbal),6.0,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Master of Science in Genetics and Genomics,,,,,Graduate,Fall 2026,,,,,,Not Required,REQUIRED,,,,True,True,False,False,False,False,,True,False,False,False,False,True,True,False,False,,,,,,,,,,,,"['Bioinformatics and Genomics', 'Conservation and Population Genetics', 'Medical Genetics', 'Microbial Genetics', 'Molecular, Cellular, and Developmental Genetics', 'Plant Genetics']"," The program integrates knowledge gained in coursework covering a range of genetics specialties including Bioinformatics and Genomics; Conservation and Population Genetics; Medical Genetics; Microbial Genetics; Molecular, Cellular, and Developmental Genetics; and Plant Genetics. [2]",,https://grad.tamu.edu/academics/program-directory?initDegree=MS,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.0,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
